                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6004,                  1.726,                 1.4005,                0.80635,                0.68856,                0.79136,                0.44777,                 1.5302,                  1.173,                 1.3386,             0.00066662,             0.00066662,             0.00066662
                      2,                 1.5649,                  1.411,                 1.3882,                 0.8448,                0.74873,                0.84684,                0.49957,                 1.4361,                0.97974,                 1.2921,              0.0011447,              0.0011447,              0.0011447
